Fiscal Year,Work Location Borough,Regular Gross Paid,OT Hours,Total OT Paid
2020,MANHATTAN,68141.38,277,13694.99
2020,MANHATTAN,55029.81,587.25,25660.6
2020,MANHATTAN,77033.78,68,3164.99
2020,MANHATTAN,79890.17,118.25,5735.58
2020,MANHATTAN,66934.77,285.5,14017.29
2020,BROOKLYN,63931.05,207,8663.02
2020,MANHATTAN,75593.31,178.5,8558.76
2020,MANHATTAN,70038.09,175.5,8723.5
2020,MANHATTAN,61983.44,334.25,16010.87
2020,QUEENS,81370.38,27.25,2096.98
2020,BROOKLYN,58914.16,278,12018.51
2020,BROOKLYN,82691.66,4,179.67
2020,MANHATTAN,67829.09,214.75,11073.22
2020,BROOKLYN,59008.08,259.25,11115.73
2020,MANHATTAN,66651.48,205,10891.76
2020,MANHATTAN,73067.97,186,9216.59
2020,MANHATTAN,79644.07,6.25,285.1
2020,MANHATTAN,58539.64,394.5,18168.64
2020,MANHATTAN,75918.93,35.5,1762.44
2020,MANHATTAN,71110.64,210.25,10078.39
2020,MANHATTAN,75586.29,124,5641.55
2020,BROOKLYN,60604.87,177.75,7083.75
2020,MANHATTAN,68500.74,190.25,9900.89
2020,MANHATTAN,77529.66,28.25,1296.53
2020,BROOKLYN,59639.48,178.25,8110.25
2020,BROOKLYN,60604.87,176.75,7081.32
2020,MANHATTAN,56316.41,309.25,14890.99
2020,BROOKLYN,60604.87,168.25,6753.33
2020,MANHATTAN,60034.94,336,14923.85
2020,MANHATTAN,66513.56,256.5,11768.14
2020,MANHATTAN,76724.35,10.75,559.35
2020,QUEENS,68106.03,201.5,9386.86
2020,BRONX,78040.71,1.25,186.24
2020,MANHATTAN,56909.54,363.75,15777.54
2020,MANHATTAN,52509.66,464.5,20276.37
2020,MANHATTAN,62211.48,214.75,9730.02
2020,QUEENS,57888.77,231.5,10195.63
2020,MANHATTAN,64784.36,163.5,7366.63
2020,BROOKLYN,58107.91,261.5,10442.7
2020,MANHATTAN,75586.29,28.75,1515.82
2020,MANHATTAN,57058.2,312.25,14358.95
2020,MANHATTAN,64748.04,217.75,9649.39
2020,MANHATTAN,55045.51,347.25,15177.39
2020,MANHATTAN,68230.01,70.25,3343.79
2020,MANHATTAN,73037.28,23.75,1209.88
2020,MANHATTAN,63149.5,196,9166.49
2020,QUEENS,56434.42,222,9726.16
2020,MANHATTAN,56407.98,214,9630.66
2020,MANHATTAN,60787.79,201.25,8956.39
2020,MANHATTAN,61855.36,298.25,11771.75
2020,MANHATTAN,57839.04,300.25,12347.12
2020,BROOKLYN,54846.92,184,6895.26
